ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Source
GO:0005788	endoplasmic reticulum lumen	11/191	313/19886	0.000231091497185088	0.0757980110767088	0.0678679239101468	CTSC/APLP2/FBN1/MSLN/FKBP10/H6PD/CCN1/COL7A1/WFS1/COL21A1/SUMF2	11	 GO-CC
GO:0034704	calcium channel complex	5/191	79/19886	0.0009836897721204	0.123752005716766	0.110804908841392	PKD2L1/MICU2/CACNA1H/CACNA1S/CACNA1I	5	 GO-CC
GO:0035578	azurophil granule lumen	5/191	91/19886	0.00185054740978153	0.123752005716766	0.110804908841392	CTSC/MPO/HRNR/STK11IP/GLB1	5	 GO-CC
GO:0030135	coated vesicle	9/191	311/19886	0.00321822765381712	0.123752005716766	0.110804908841392	CTSC/MYO1E/CEMIP/SORT1/LRP2/COL7A1/ATP6V1A/TNK2/HLA-DRB5	9	 GO-CC
GO:0005766	primary lysosome	6/191	155/19886	0.00389072917324836	0.123752005716766	0.110804908841392	CTSC/MPO/HRNR/SYNGR1/STK11IP/GLB1	6	 GO-CC
GO:0042582	azurophil granule	6/191	155/19886	0.00389072917324836	0.123752005716766	0.110804908841392	CTSC/MPO/HRNR/SYNGR1/STK11IP/GLB1	6	 GO-CC
GO:0098800	inner mitochondrial membrane protein complex	6/191	158/19886	0.00427166088236149	0.123752005716766	0.110804908841392	MICU2/NDUFA13/CHCHD6/ATP6/ND4/ND5	6	 GO-CC
GO:0030136	clathrin-coated vesicle	7/191	212/19886	0.0044818713670038	0.123752005716766	0.110804908841392	MYO1E/CEMIP/SORT1/LRP2/ATP6V1A/TNK2/HLA-DRB5	7	 GO-CC
GO:0034992	microtubule organizing center attachment site	2/191	11/19886	0.00476766423818668	0.123752005716766	0.110804908841392	SYNE2/SUN1	2	 GO-CC
GO:0034993	meiotic nuclear membrane microtubule tethering complex	2/191	11/19886	0.00476766423818668	0.123752005716766	0.110804908841392	SYNE2/SUN1	2	 GO-CC
GO:0106083	nuclear membrane protein complex	2/191	11/19886	0.00476766423818668	0.123752005716766	0.110804908841392	SYNE2/SUN1	2	 GO-CC
GO:0106094	nuclear membrane microtubule tethering complex	2/191	11/19886	0.00476766423818668	0.123752005716766	0.110804908841392	SYNE2/SUN1	2	 GO-CC
GO:1902495	transmembrane transporter complex	10/191	394/19886	0.00490480510462793	0.123752005716766	0.110804908841392	PKD2L1/KCNC1/MICU2/CACNA1H/NDUFA13/CACNA1S/CACNA1I/ATP6V1A/ND4/ND5	10	 GO-CC
GO:0005905	clathrin-coated pit	4/191	75/19886	0.00589585294111456	0.123849589559302	0.110892283334548	CEMIP/SORT1/LRP2/TNK2	4	 GO-CC
GO:0000795	synaptonemal complex	3/191	40/19886	0.00663730413801207	0.123849589559302	0.110892283334548	BRCA2/UBE2I/STAG3	3	 GO-CC
GO:0099086	synaptonemal structure	3/191	40/19886	0.00663730413801207	0.123849589559302	0.110892283334548	BRCA2/UBE2I/STAG3	3	 GO-CC
GO:0030672	synaptic vesicle membrane	5/191	126/19886	0.00743221129645036	0.123849589559302	0.110892283334548	PTPRS/SYNGR1/OTOF/ATP6V1A/WFS1	5	 GO-CC
GO:0099501	exocytic vesicle membrane	5/191	126/19886	0.00743221129645036	0.123849589559302	0.110892283334548	PTPRS/SYNGR1/OTOF/ATP6V1A/WFS1	5	 GO-CC
GO:1990351	transporter complex	10/191	421/19886	0.007692198282842	0.123849589559302	0.110892283334548	PKD2L1/KCNC1/MICU2/CACNA1H/NDUFA13/CACNA1S/CACNA1I/ATP6V1A/ND4/ND5	10	 GO-CC
GO:0000794	condensed nuclear chromosome	4/191	81/19886	0.00772045970405851	0.123849589559302	0.110892283334548	BRCA2/UBE2I/TTN/STAG3	4	 GO-CC
GO:1990204	oxidoreductase complex	5/191	128/19886	0.00792939445349187	0.123849589559302	0.110892283334548	NOX4/NDUFA13/GLDC/ND4/ND5	5	 GO-CC
GO:0005765	lysosomal membrane	10/191	441/19886	0.0104477716080463	0.140064380575804	0.125410661683727	MCOLN1/RRAGC/SZT2/SORT1/SYNGR1/LRP2/STK11IP/ATP6V1A/HLA-DRB5/CHMP4C	10	 GO-CC
GO:0098852	lytic vacuole membrane	10/191	441/19886	0.0104477716080463	0.140064380575804	0.125410661683727	MCOLN1/RRAGC/SZT2/SORT1/SYNGR1/LRP2/STK11IP/ATP6V1A/HLA-DRB5/CHMP4C	10	 GO-CC
GO:0034703	cation channel complex	6/191	193/19886	0.0109900862897539	0.140064380575804	0.125410661683727	PKD2L1/KCNC1/MICU2/CACNA1H/CACNA1S/CACNA1I	6	 GO-CC
GO:0005747	mitochondrial respiratory chain complex I	3/191	49/19886	0.011623055950942	0.140064380575804	0.125410661683727	NDUFA13/ND4/ND5	3	 GO-CC
GO:0030964	NADH dehydrogenase complex	3/191	49/19886	0.011623055950942	0.140064380575804	0.125410661683727	NDUFA13/ND4/ND5	3	 GO-CC
GO:0045271	respiratory chain complex I	3/191	49/19886	0.011623055950942	0.140064380575804	0.125410661683727	NDUFA13/ND4/ND5	3	 GO-CC
GO:0045334	clathrin-coated endocytic vesicle	4/191	92/19886	0.0119567154150076	0.140064380575804	0.125410661683727	MYO1E/CEMIP/LRP2/HLA-DRB5	4	 GO-CC
GO:0016528	sarcoplasm	4/191	93/19886	0.0124025669730175	0.14027730921206	0.125601313447255	SYNE2/NFATC1/CACNA1S/XDH	4	 GO-CC
GO:0019898	extrinsic component of membrane	6/191	207/19886	0.0150858224324177	0.1649383252611	0.147682261706826	ESYT1/COQ5/MCF2L/CDH1/GNA13/ATP6V1A	6	 GO-CC
GO:0005891	voltage-gated calcium channel complex	3/191	55/19886	0.0158739362818178	0.167956487110846	0.150384659511958	CACNA1H/CACNA1S/CACNA1I	3	 GO-CC
GO:0008021	synaptic vesicle	6/191	213/19886	0.0171286238506848	0.175568394469519	0.157200199155956	PPFIA2/PTPRS/SYNGR1/OTOF/ATP6V1A/WFS1	6	 GO-CC
GO:0005774	vacuolar membrane	10/191	484/19886	0.0188549007729199	0.184569179367036	0.165259310152128	MCOLN1/RRAGC/SZT2/SORT1/SYNGR1/LRP2/STK11IP/ATP6V1A/HLA-DRB5/CHMP4C	10	 GO-CC
GO:0000793	condensed chromosome	7/191	281/19886	0.0191321710319489	0.184569179367036	0.165259310152128	CLIP1/BRCA2/UBE2I/CENPT/TTN/STAG3/CHMP4C	7	 GO-CC
GO:0005903	brush border	4/191	108/19886	0.0203934752375966	0.185432570357455	0.16603237204663	MYO1E/GNA13/ACTR3/LRP2	4	 GO-CC
GO:0016605	PML body	4/191	109/19886	0.0210161264090934	0.185432570357455	0.16603237204663	TRIM8/PIAS1/UBE2I/TENM2	4	 GO-CC
GO:0098862	cluster of actin-based cell projections	5/191	165/19886	0.021695832582331	0.185432570357455	0.16603237204663	MYO1E/GNA13/ACTR3/LRP2/PKHD1L1	5	 GO-CC
GO:0030990	intraciliary transport particle	2/191	24/19886	0.0220483848900632	0.185432570357455	0.16603237204663	IFT43/IFT140	2	 GO-CC
GO:0035371	microtubule plus-end	2/191	24/19886	0.0220483848900632	0.185432570357455	0.16603237204663	CLIP1/CLIP2	2	 GO-CC
GO:0098858	actin-based cell projection	6/191	227/19886	0.0226187916905073	0.18547409186216	0.166069549517146	SYNE2/MYO1E/ATP6V1A/MUC20/TENM2/PKHD1L1	6	 GO-CC
GO:0070382	exocytic vesicle	6/191	232/19886	0.0248370587147889	0.198696469718311	0.177908584888988	PPFIA2/PTPRS/SYNGR1/OTOF/ATP6V1A/WFS1	6	 GO-CC
GO:0030658	transport vesicle membrane	6/191	236/19886	0.0267130756505215	0.208616400318358	0.186790679360789	PTPRS/SYNGR1/OTOF/ATP6V1A/WFS1/HLA-DRB5	6	 GO-CC
GO:0005775	vacuolar lumen	5/191	176/19886	0.0276787612966715	0.211131016402517	0.189042213017658	CTSC/MPO/HRNR/STK11IP/GLB1	5	 GO-CC
GO:0031312	extrinsic component of organelle membrane	2/191	28/19886	0.0294521809960991	0.219552621970921	0.196582739184489	COQ5/ATP6V1A	2	 GO-CC
GO:0030695	GTPase regulator activity	14/180	486/18496	0.000298011766918848	0.0658606004890653	0.0624256227545797	DENND2B/MCF2L/PLEKHG3/RGS11/GNA13/PLEKHG5/SYDE2/RABGAP1L/SRGAP3/TNK2/SMAP1/ECT2L/DOCK5/SH2D3C	14	 GO-MF
GO:0060589	nucleoside-triphosphatase regulator activity	14/180	486/18496	0.000298011766918848	0.0658606004890653	0.0624256227545797	DENND2B/MCF2L/PLEKHG3/RGS11/GNA13/PLEKHG5/SYDE2/RABGAP1L/SRGAP3/TNK2/SMAP1/ECT2L/DOCK5/SH2D3C	14	 GO-MF
GO:0005201	extracellular matrix structural constituent	7/180	166/18496	0.00121847599103564	0.146098218210595	0.138478425453243	MUC6/FBN1/CCN1/COL7A1/COL6A6/MUC4/COL21A1	7	 GO-MF
GO:0008331	high voltage-gated calcium channel activity	3/180	24/18496	0.00157827148957586	0.146098218210595	0.138478425453243	CACNA1H/CACNA1S/CACNA1I	3	 GO-MF
GO:0005085	guanyl-nucleotide exchange factor activity	8/180	225/18496	0.00165269477613795	0.146098218210595	0.138478425453243	DENND2B/MCF2L/PLEKHG3/GNA13/PLEKHG5/ECT2L/DOCK5/SH2D3C	8	 GO-MF
