DGI.gene_claim_name	DGI.gene_concept_id	DGI.gene_name	DGI.interaction_source_db_name	DGI.interaction_source_db_version	DGI.interaction_type	DGI.interaction_score	DGI.drug_claim_name	DGI.drug_concept_id	DGI.drug_name	DGI.approved	DGI.immunotherapy	DGI.anti_neoplastic
BRCA1	hgnc:1100	BRCA1	CIViC	10-Apr-24	NULL	0.088866948	OLAPARIB	rxcui:1597582	OLAPARIB	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	CGI	2/1/22	NULL	NULL	Platinum Agent	NULL	NULL	NULL	NULL	NULL
BRCA1	hgnc:1100	BRCA1	CGI	2/1/22	NULL	0.088866948	Olaparib	rxcui:1597582	OLAPARIB	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1396480617970598	TCMDC-123480	chembl:CHEMBL588683	CHEMBL:CHEMBL588683	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.2792961235941196	DNDI1417484	chembl:CHEMBL1308677	CHEMBL:CHEMBL1308677	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.046549354	MITOMYCIN C	rxcui:632	MITOMYCIN	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1117184494376478	NSC-636948	chembl:CHEMBL1998001	CHEMBL:CHEMBL1998001	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.2792961235941196	RIBOFLAVIN	rxcui:9346	RIBOFLAVIN	TRUE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1861974157294131	DAIDZIN	drugbank:DB02115	DAIDZIN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.5585922471882393	N-(3-PHENYLPROPYL)BENZAMIDE	chembl:CHEMBL1404865	CHEMBL:CHEMBL1404865	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	PharmGKB	4/5/24	NULL	0.082754407	talazoparib	rxcui:2099704	TALAZOPARIB	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	ClearityFoundationBiomarkers	26-Jul-13	NULL	0.027248402	OXALIPLATIN	rxcui:32592	OXALIPLATIN	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	PharmGKB	4/5/24	NULL	0.088866948	olaparib	rxcui:1597582	OLAPARIB	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.5585922471882393	WISTIN	chembl:CHEMBL464707	WISTIN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	CIViC	10-Apr-24	NULL	0.1269527834518725	RUCAPARIB	rxcui:1862579	RUCAPARIB	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1396480617970598	2-PHENYLACETYLAMINOBENZOTHIAZOLE	chembl:CHEMBL1405979	CHEMBL:CHEMBL1405979	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.069824031	PYRIDINE-2-CARBOTHIOIC ACID PHENYLAMIDE	chembl:CHEMBL114544	CHEMBL:CHEMBL114544	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.093098708	PHENAMIL METHANESULFONATE	chembl:CHEMBL1256775	PHENAMIL METHANESULFONATE	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.5585922471882393	7-O-ACETYLAFROMOSIN	chembl:CHEMBL446567	CHEMBL:CHEMBL446567	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1117184494376478	TCMDC-125575	chembl:CHEMBL587620	CHEMBL:CHEMBL587620	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1117184494376478	VU001171	iuphar.ligand:6228	VU0001171	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	ClearityFoundationBiomarkers	26-Jul-13	NULL	0.1117184494376478	E7449	ncit:C102746	PARP/TANKYRASE INHIBITOR 2X-121	FALSE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1396480617970598	6-HYDROXYFLAVONE	chembl:CHEMBL138649	6-HYDROXYFLAVONE	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.5585922471882393	GLABRIDIN	rxcui:1603522	GLABRIDIN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.042968634	EMODIN	ncit:C466	EMODIN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.060156088	TAMOXIFEN	rxcui:10324	TAMOXIFEN	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.2792961235941196	P-HYDROXYPHENETHYL ANISATE	chembl:CHEMBL1078244	CHEMBL:CHEMBL1078244	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.069824031	6,4'-DIHYDROXYFLAVONE	chembl:CHEMBL484663	CHEMBL:CHEMBL484663	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	CIViC	10-Apr-24	NULL	0.019261802	CISPLATIN	rxcui:2555	CISPLATIN	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	CGI	2/1/22	NULL	0.1396480617970598	Veliparib	ncit:C60768	VELIPARIB	FALSE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.2792961235941196	THUNBERGINOL E	chembl:CHEMBL421486	THUNBERGINOL E	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	CGI	2/1/22	NULL	0.019261802	Cisplatin	rxcui:2555	CISPLATIN	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1396480617970598	DIMETHYL YELLOW	chembl:CHEMBL263116	DIMETHYL YELLOW	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.010344301	PACLITAXEL	rxcui:56946	PACLITAXEL	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.018019105	GEMCITABINE	rxcui:12574	GEMCITABINE	TRUE	FALSE	TRUE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.093098708	TCMDC-124307	chembl:CHEMBL546865	CHEMBL:CHEMBL546865	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1396480617970598	VITAMIN B2	chembl:CHEMBL1397833	VITAMIN B2	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.1117184494376478	ONONIN	chembl:CHEMBL465980	ONONIN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	DTC	9/2/20	NULL	0.5585922471882393	GAMMA-FAGARINE	chembl:CHEMBL252925	GAMMA-FAGARINE	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.3723948314588262	IROFULVEN	ncit:C1717	IROFULVEN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	NCI	14-Sep-17	NULL	0.2792961235941196	PHYTOESTROGEN	ncit:C1194	PHYTOESTROGEN	FALSE	FALSE	FALSE
BRCA1	hgnc:1100	BRCA1	OncoKB	23-Jul-20	NULL	0.082754407	Talazoparib	rxcui:2099704	TALAZOPARIB	TRUE	FALSE	TRUE
